Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
RMBS,126.28,62.37,66.93,-71.77,120.0,牛勢,⏳ 觀望,科技
RMD,222.04,65.03,67.91,-21.06,200.0,止跌回升,⏳ 觀望,醫療
RMR,17.34,74.21,79.32,-26.84,15.0,牛勢,⏳ 觀望,Real Estate
RNG,40.41,80.95,69.77,-60.02,35.0,牛勢,⏳ 觀望,科技
RNR,311.08,77.98,63.24,-22.31,300.0,逆轉,⏳ 觀望,金融
RNST,40.03,73.51,60.41,-26.92,17.5,逆轉,⏳ 觀望,金融
ROAD,120.67,66.07,70.11,-44.39,95.0,逆轉,⏳ 觀望,工業
ROBO,80.78,73.14,42.62,-22.01,67.0,牛勢,⏳ 觀望,指數基金
ROKT,109.66,50.17,95.08,-25.78,80.0,逆轉,⏳ 觀望,指數基金
ROL,55.97,64.0,52.7,-22.84,52.5,反彈,⏳ 觀望,消費
ROOT,55.9,61.28,58.04,-67.54,40.0,牛勢,⏳ 觀望,金融
ROP,352.4,62.38,63.54,-23.51,350.0,逆轉,⏳ 觀望,科技
RPG,53.81,54.84,68.0,-19.38,41.0,牛勢,⏳ 觀望,指數基金
RPV,108.85,87.68,48.18,-13.06,110.0,反彈,⏳ 觀望,指數基金
RRC,42.22,86.56,80.7,-32.45,38.0,牛勢,⏳ 觀望,能源
RRX,213.28,66.57,61.13,-44.95,170.0,牛勢,⏳ 觀望,工業
RS,361.72,68.14,70.56,-25.28,250.0,牛勢,⏳ 觀望,Basic Materials
RSP,201.72,64.1,58.27,-12.03,202.5,反彈,⏳ 觀望,指數基金
RSPH,30.09,29.5,81.92,-16.23,24.0,止跌回升,⏳ 觀望,指數基金
RSPN,58.37,99.26,99.26,-15.42,62.0,反彈,⏳ 觀望,指數基金
RSPS,29.65,62.56,0.0,-13.28,32.0,止跌回升,⏳ 觀望,指數基金
RSPT,52.76,74.11,64.0,-20.76,39.0,牛勢,⏳ 觀望,指數基金
RSSL,107.46,71.75,0.0,-19.29,89.0,逆轉,⏳ 觀望,指數基金
RSVR,10.13,73.74,0.0,-31.96,7.5,牛勢,⏳ 觀望,通訊
RTO,33.54,87.76,75.2,-29.95,22.5,逆轉,⏳ 觀望,工業
RVTY,87.25,80.82,80.66,-37.12,80.0,反彈,⏳ 觀望,醫療
