,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,SPH,19.53,19.29,28607,20.8,17.3,05-07 7:30 PM,20,20,5,20,17.5,71.71611315467115,'-683947,'-128857,0.6932,0.0811,2026-05-16,2026-08-22,0,0,,,0.4466,,5.3078,'-2.3377,'-0.51219512,'-0.42933923,0.2054,0.3163,0.29,0.318,0.3138,0.3851181594,53.790000000000006,14.7535,,
,SPHB,134.22,134.76,53819,134.95,75.65,,130,127,130,127,130,,'-22034,'-1669155,0.9691,1.0246,2026-05-16,2026-09-19,4,25,0.25,0.52,31.6667,6.25,0.0132,'-0.0637,'-0.33402418,'-0.34743097,0.2719,0.2861,0.5615,0.1817,0.4615,2.4335565234,79.36,5.3787,0.5417200000000001,12.048460000000002
,SPHD,49.22,49.33,352554,53.07,46.39,,50,50,41,50,46,,'-294892,'-228373,0.2256,0.2823,2026-06-19,2026-06-19,7,6,1,0.1667,1.3385,0.8571,1.2913,'-0.9026,'-0.84732824,'-0.67097967,0.0889,0.1623,0.5674,0.1505,0.0569,0.5053499337,46.33,21.3178,0.5226999999999999,16.98442
,SPHQ,80.26,80.74,420262,81.05,63.82,,80,77,69,80,79,,'-36294,'-11085,0.2363,0.1799,2026-07-18,2026-07-18,0,0,,,0.8171,,3.2742,'-12.84,'-0.01274363,'-0.00451807,0.1911,0.1328,0.3394,0.287,0.687,0.6767829325,43.6,11.1757,0.5608,12.2394
,SPHR,133.99,131.34,273297,137.3,25.08,,140,100,15,100,90,14.17370096721024,'-648430,'-310232,0.7134,0.4806,2026-05-16,2026-05-16,127,60,0.4567,0.7,0.7513,0.4724,2.0901,'-15.9805,'-0.04124893,'-0.04736687,0.5672,0.6798,0.6355,0.0556,0.2632,5.6356076501,61.68,11.0374,0.52108,8.980739999999999
,SPHY,23.585,23.58,1923528,23.99,23.02,,23,24,15,24,23,,'-20024,'-87614,0.0424,0.0221,2026-07-18,2026-10-17,8,0,0.25,,5.3548,0,0.2285,'-0.1788,'-1.28798587,'-1.27745289,0.0588,0.1539,0.4328,0.2948,0.1423,0.2290577542,65.74,5.5958,0.6573399999999999,5.2005799999999995
,SPIB,33.295,33.67,1805911,34.14,32.91,,34,34,26,34,25,,'-849262,0,0.8546,0.8533,2026-05-16,2026-05-16,0,0,,,0,,,,'-0.42539683,'-0.42579505,0.0375,0.0566,0.236,0.473,0.3402,0.1202879505,81.78999999999999,2.3056,0.79268,3.9533400000000007
,SPIP,26.23,26.24,111046,26.58,25.57,,27,27,18,27,26,,'-71245,'-47112,0.2577,0.1715,2026-08-22,2026-05-16,0,0,,,0.6107,,1.5122,'-0.4331,'-0.37475345,'-0.42164948,0.0403,0.097,0.5926,0.2083,0.0041,0.1606564413,67.14,3.2955,0.8138333333333333,10.7153
,SPIR,16.43,16.52,756651,23.59,6.6,,16,15,2,20,7,8.362714300685118,'-1947616,'-453328,0.5708,0.3675,2026-05-16,2026-05-16,848,222,0.3726,0.7162,0.4034,0.2618,4.2963,'-6.2446,0.08183937,0.10613811,1.6375,1.0948,0.5895,0.194,0.8105,1.141582781,43.97,0.476,0.34903999999999996,0.50514
,SPLB,22.42,22.41,697660,23.6,21.26,,22,22,14,22,19,,'-141169,'-9147,0.8945,0.9516,2026-05-16,2026-05-16,0,0,,,0.0811,,15.4334,'-29.3035,'-0.81307628,'-0.79676259,0.0882,0.1112,0.3818,0.3699,0.0084,0.1572929369,49.69,3.0629,0.5315,2.5575599999999996
,SPLV,73.605,73.77,457055,77.74,69.63,,68,71,55,74,68,,'-161566,'-271724,0.2485,0.2589,2026-09-19,2026-06-19,8,2,1,0,2.3081,0.25,0.5946,'-0.7645,'-0.50152439,'-0.41793313,0.1072,0.1316,0.446,0.1991,0.1012,0.6127710661,37.1,4.0309,0.51756,6.747279999999999
,SPMB,22.46,22.45,403929,22.87,21.45,,21,13,14,13,13,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.00962464,0.00961196,0.0507,0.2809,0.3429,0.383,0.3648,0.3980436155,58.209999999999994,19.311,0.42262000000000005,19.58898
,SPMD,62.69,63.84,492737,64.91,48.8,,63,63,52,63,60,,'-44421,'-7605,0.3965,0.1317,2026-08-22,2026-08-22,0,0,,,0.2049,,5.841,'-28.2088,0.07061856,0.0485189,0.1857,0.1958,0.3102,0.1557,0.6371,0.7889839046,72.85000000000001,3.7957,0.6744,4.234299999999999
,SPMO,132.15,131.52,796336,131.83,90.44,,128,110,70,132,123,,'-1157090,'-350953,0.4449,0.2411,2026-05-16,2026-07-18,134,107,0.3881,0.6449,0.2891,0.7985,3.297,'-14.2743,'-0.03728814,'-0.10874439,0.2765,0.1784,0.4355,0.3402,0.7976,1.4809801174,65.49000000000001,21.5383,0.6493,23.344900000000003
,SPNT,23.76,23.76,126065,23.85,16.07,05-08 4:10 AM,22.5,22.5,5,22.5,20,2.374952321777266,'-124368,'-351,0.0023,0.09,2026-07-18,2026-07-18,11,0,0,,0.0054,0,354.3248,'-635.4487,'-1.39656879,'-1.20903182,0.2189,0.2923,0.1359,0.0275,0.041,0.438366976,63.42,0.396,0.44996,2.0774
,SPOG,7.97,8.49,4887,15.27,5.75,,8,8,2,8,11,,'-12593,'-1554,0.8534,0.801,2026-05-16,2026-05-16,0,0,,,0.1014,,8.1036,'-10.7319,'-0.30219114,'-0.27037865,0.6643,1.2967,0.9715,0.2347,0.2921,0.694879947,21.67,23.2714,,
,SPOT,498.63,518.03,639163,785,405,04-28 6:00 PM,500,500,105,600,450,20.53997067784335,'-7206954,'-6016506,0.0702,0.0479,2026-06-19,2026-05-16,2661,2910,0.2642,0.144,1.0237,1.0936,1.1979,'-1.4033,'-0.00668536,'-0.0489488,0.3465,0.6231,1,0.0895,0.228,20.3739501988,39.7,0.5111,0.47190000000000004,0.48180000000000006
,SPRX,43.855,44.89,41727,45.46,20.14,,47,47,25,47,40,,'-19438,'-7217,0.2291,0.1821,2026-06-19,2026-06-19,2,1,0,1,0.416,0.5,2.6934,'-7.5465,'-0.95385765,'-0.94717842,0.5495,0.5263,0.7002,0.2961,0.444,1.4912331629,68.55,11.3605,,
,SPSB,30.08,30.13,1154003,30.34,29.92,,30,30,22,30,31,,'-1748675,'-839,0,0,2026-08-22,2026-08-22,0,0,,,0.0048,,2084.2372,'-160.1424,0.54828151,0.48101266,0.02,0.0553,0.2461,0.3333,0.5331,0.1051687812,70.15,9.3431,0.64188,37.91372
,SPSC,54.96,54.68,120101,153.16,50.55,05-01 4:05 AM,55,105,35,80,55,14.864009830167284,'-95471,'-7234,0.0358,0.0318,2026-07-18,2026-10-17,1,0,0,,0.2215,0,13.1975,'-0.513,'-0.41656645,'-0.36340852,0.5069,0.6384,0.6646,0.2416,0.032,2.2033523954,42.19,4.8133,0.46957999999999994,6.337
,SPSM,53.105,53.04,644248,53.4,38.07,,55,55,30,55,47,,'-227976,'-15028,0.1489,0.0797,2026-12-19,2026-12-19,5,13,0.4,0.0769,0.366,2.6,15.1701,'-54.766,'-0.08893281,'-0.09296586,0.1743,0.2431,0.5588,0.1049,0.5766,0.813862526,65.84,9.1258,0.5801000000000001,6.25658
,SPTI,28.765,28.68,862385,29.24,28.19,,28,29,21,29,28,,'-7078,'-91825,1,1,2026-05-16,2026-06-19,0,0,,,7.6923,,0.0771,'-0.0519,'-0.54024768,'-0.54137931,0.04,0.058,0.2613,0.2258,0.1213,0.104995266,68.37,25.8045,0.6698799999999999,21.33888
,SPTL,26.21,26.32,8479055,27.7,25.17,,26,23,17,27,26,,'-436879,'-622892,0.6085,0.2282,2026-05-16,2026-11-21,25,0,0.4,,0.4733,0,0.7014,'-3.1722,'-0.14250614,'-0.19588875,0.0779,0.0827,0.1485,0.2293,0.1818,0.1373896358,94.82000000000001,34.9535,0.7361800000000001,11.66062
,SPTM,86.74,86.73,209327,86.79,65.11,,84,76,73,76,78,,'-108680,'-10116,0.2221,0.0775,2026-06-19,2026-06-19,0,1,,0,0.0846,,10.7434,'-75.6452,'-0.42821317,'-1.18335419,0.1767,0.1598,0.3147,0.2155,0.0402,0.8747998485,56.96,2.6227,0.58834,6.506360000000001
,SPTS,29.095,29.18,750740,29.4,29.05,,31,31,21,31,20,,'-2857,0,1,1,2026-05-16,2026-05-16,0,0,,,0,,,,0.52496218,0.52911814,0.0188,0.0601,0.1221,0.2621,0.6109,0.1106935555,39.78,172.2276,0.6654599999999999,79.64602
,SPUU,194.92,198.18,5507,198.18,118.85,,200,166.09,100,166.09,160,,'-8139,'-3328,0.3549,0.0883,2026-07-18,2026-07-18,0,0,,,0.4348,,2.4456,'-8.7441,'-0.47680583,'-0.4625125,0.3874,0.3001,0.327,0.2563,0.3846,3.753949252,56.910000000000004,37.2095,,
,SPVM,71.8,70.7,9932,72.51,54.78,,72,71,59,72,58,,'-1464,0,0.7281,0.3602,2026-05-16,2026-08-22,0,0,,,0,,,,'-0.0065445,0.00779221,0.1153,0.154,0.4249,0.144,0.6967,0.6872309537,73.82,56.4318,,
,SPXC,222.49,222.88,109376,246.68,126.67,05-01 4:05 AM,230,230,100,230,180,6.94497846356944,'-257049,'-28789,0.6018,0.4942,2026-05-16,2026-05-16,37,33,0.3784,0.3939,0.1846,0.8919,8.9287,'-10.2783,'-0.09141221,'-0.07767768,0.4602,0.4995,0.8932,0.1502,0.5203,7.026987313,66.75,14.7308,0.7044599999999999,5.96138
,SPXL,243.08,242.11,860405,242.52,115.8,,240,200,50,250,280,,'-5085191,'-1608050,0.245,0.0731,2026-05-02,2027-01-16,3059,2044,0.3753,0.6908,0.3819,0.6682,3.1623,'-10.7952,'-0.30436653,'-0.4460719,0.531,0.4506,0.3236,0.216,0.144,6.8859916682,40.6,19.9325,0.43922,28.33258
,SPXS,30.47,30.59,4125091,72.8,30.55,,30,30,2,30,20,,'-8786417,'-3787071,0.2994,0.4983,2026-05-02,2027-01-16,8813,1147,0.4013,0.1656,0.7349,0.1301,2.3201,'-1.2858,0.34485531,0.5620915,0.5483,0.5049,0.3929,0.1016,0.9065,0.9748716152,60.34,3.5721,0.5564199999999999,4.710260000000001
,SPXT,106.82,106.43,1915,108.04,87.04,,107,101,80,101,107,,'-5172,'-4427,0.4612,0.317,2026-05-16,2026-10-17,0,2,,1,0.6429,,1.1683,'-4.1551,'-0.03033473,'-0.05993691,0.1559,0.0951,0.0371,0.2142,0.6138,0.6388621473,26.009999999999998,25.8784,,
,SPXU,42.71,42.92,2516185,104.36,42.84,,45,43,4,44,10,,'-4300818,'-2648122,0.1574,0.2443,2026-06-19,2026-05-30,4111,349,0.1309,0.3324,1.359,0.0849,1.6241,'-0.4419,0.23731312,0.53067227,0.5429,0.476,0.3607,0.0644,0.8835,1.2895234488,68.01,4.4724,0.5882799999999999,3.6598599999999997
,SPY,714.99,713.98,15630319,714.47,535.45,,700,700,713,720,700,,'-2673014794,'-2772254550,0.1586,0.0245,2026-05-16,2026-05-16,1271821,2088043,0.3841,0.2654,2.1538,1.6418,0.9642,'-2.0468,'-0.24803493,'-0.25506329,0.1781,0.158,0.3054,0.2141,0.564,7.1204216373,48.5,0.4,0.46592,0.41256000000000004
,SPYD,46.02,46.02,203885,48.53,41.18,,45,45,35,47,42,,'-1149633,'-390178,0.2562,0.0932,2026-06-19,2026-06-19,9,2,0.3333,0.5,0.3692,0.2222,2.9464,'-5.6067,0.19831731,0.03146853,0.0877,0.0858,0.1072,0.095,0.9268,0.2492277978,51.03,0.3608,0.67486,6.78528
,SPYG,112.92,112.31,1005967,112.49,78.4,,108,108,60,108,98,,'-1640130,'-751704,0.3112,0.1583,2026-06-19,2026-06-19,1879,34,0.0389,0.9412,0.6836,0.0181,2.1819,'-7.9193,'-0.38265556,'-0.34793187,0.2523,0.2055,0.4163,0.3014,0.072,1.4567761788,65.93,0.4069,0.68272,0.44855999999999996
,SPYH,55.2,55.24,3406,56.04,48.08,,54,54,46,54,45,,'-1061,0,1,1,2026-05-16,2026-05-16,0,0,,,0,,,,'-0.14808511,'-0.16111611,0.1112,0.1111,0.0449,0.5038,0.3188,0.387373856,69.19999999999999,3.1105,,
,SPYI,52.27,52.21,1935280,53.38,45.7,,52,52,40,53,50,,'-8524706,'-3803132,0.481,0.543,2026-05-16,2026-05-16,1026,801,0.5926,0.4969,0.8601,0.7807,2.2415,'-1.5987,'-0.16683217,'-0.33364574,0.1559,0.1067,0.2639,0.1374,0.8066,0.3516257653,47.55,28.1001,0.64672,18.428620000000002
,SPYM,84.16,84.04,3672483,84.1,62.99,,85,85,45,85,77,,'-6289653,'-2463055,0.3867,0.2417,2026-06-19,2026-06-19,678,475,0.3909,0.4863,0.6563,0.7006,2.5536,'-5.013,'-0.26040353,'-0.27634069,0.177,0.1585,0.3027,0.1129,0.6379,0.8407713186,60.58,9.569,0.61,12.488000000000001
,SPYT,17.44,17.44,114171,18.68,15.77,,17,17,8,17,16,,'-66646,'-13687,0.1565,0.0059,2026-09-19,2026-09-19,1,2,0,0,0.4046,2,4.8693,'-4.1338,'-1.00699301,'-0.97811726,0.1806,0.2422,0.4666,0.2672,0.3237,0.2666141514,84.56,30.3002,0.8456,30.3002
,SPYV,58.94,59.11,900228,59.75,48,,59,50,45,59,57,,'-317373,'-93295,0.3523,0.081,2026-05-16,2026-06-19,5,1,0.8,0,0.2894,0.2,3.4018,'-10.64,'-0.41518578,'-0.25389408,0.1181,0.1284,0.3369,0.1759,0.2874,0.4790585116,55.67999999999999,9.578,0.5698399999999999,11.415919999999998
,SPYX,58.48,58.45,75433,58.46,44.01,,58,55,46,55,58,,'-6729,'-20029,0.5275,1.4912,2026-05-16,2026-07-18,1,12,1,1,2,12,0.336,'-0.8042,'-0.22459547,'-0.20919387,0.191,0.1501,0.367,0.2409,0.3522,0.5537679101,78.36999999999999,12.204,0.0439,34.4683
,SQM,90.98,88.81,518249,95.46,29.36,,92.5,80,25,80,37.5,5.396067751230731,'-2717183,'-206953,0.8835,0.7811,2026-05-16,2026-05-16,303,44,0.6865,0.1364,0.2354,0.1452,13.1295,'-25.6778,'-0.12926201,'-0.10498768,0.5931,0.6496,0.7985,0.2857,0.2915,3.6414174083,46.410000000000004,0.4614,0.3273,0.46276
,SQQQ,52.6,52.52,23220460,177,52.37,,55,55,2,55,48.5,,'-29281836,'-8128810,0.4147,0.1152,2026-05-02,2028-01-22,61336,10522,0.537,0.4364,0.4407,0.1715,3.6022,'-1.1484,0.2384886,0.31256865,0.6855,0.6373,0.3818,0.5471,0.4137,2.1126678028,58.660000000000004,0.3989,0.5208,0.42094000000000004
,SR,90.84,90.84,113627,95.31,69.94,05-06 7:00 PM,90,100,55,100,65,26.260134429064134,'-283158,'-11270,0.0473,0.0226,2026-06-19,2026-06-19,5,0,0,,0.0412,0,25.1249,'-29.245,0.02987777,0.06238698,0.2107,0.2212,0.4048,0.2694,0.4772,1.2683082749,65.91,6.7643,0.62476,3.2492399999999995
,SRAD,13.92,13.27,4021357,32.22,11.69,05-06 7:00 PM,12.5,15,5,15,10,35.41557992951826,'-4797976,'-506118,0.5649,0.4586,2026-05-16,2026-05-16,15999,545,0.7047,0.8661,0.0831,0.0341,9.48,'-4.3741,'-0.01231891,'-0.02639637,1.0169,0.9471,1,0.7387,0.5062,0.7932851733,13.61,0.5085,0.26436000000000004,2.0993000000000004
,SRCE,73.185,73.18,61257,75.64,56.49,,70,70,35,70,65,19.808178849275357,'-174642,'-796,0.0208,0.0079,2026-06-19,2026-06-19,1,0,0,,0.0385,0,219.3995,'-286.8336,'-0.45215072,'-0.45211268,0.1955,0.284,0.3237,0.0575,0.07,1.3118172063,78.27,0.3483,,
,SRE,92.47,93.19,764088,101.04,72.71,05-07 7:55 PM,95,100,55,100,90,5.047531560448747,'-2578351,'-916770,0.541,0.2043,2026-05-16,2026-08-22,132,19,0.5833,0.3158,0.3224,0.1439,2.8124,'-2.659,'-0.07377049,'-0.05156038,0.1707,0.2948,0.6506,0.0657,0.728,1.7340410276,31.3,0.3875,0.30195999999999995,0.41586000000000006
,SRET,22.78,22.72,33192,23.09,20.01,,24,24,15,24,14,,'-6553,'-413,0.3524,0.5316,2026-06-19,2026-05-16,0,0,,,0.7701,,15.8668,'-18.0077,'-0.25432999,'-0.15864282,0.1378,0.2181,0.2004,0.2742,0.5488,0.3127710661,30.159999999999997,69.0062,0.9444,63.3882
,SRLN,40.53,40.42,935565,41.67,39.39,,40,40,39,42,39,,'-2583117,'-2891782,0.6012,0.278,2026-05-16,2026-11-21,351,0,0,,1.8212,0,0.8933,'-1.9071,0.80264741,0.53584019,0.0456,0.0851,0.3782,0.2428,0.9707,0.2171143092,64.99000000000001,10.3576,0.4219399999999999,10.12932
,SRPT,21.04,20.27,611717,64.8,10.42,,20,25,5,25,15,5.3487726407415845,'-3864825,'-2699616,0.1568,0.0021,2026-06-19,2027-01-16,1179,237,0.7031,0.5781,0.8384,0.201,1.4316,'-1.8824,'-0.11802477,0.01123305,0.6233,0.7745,0.1274,0.221,0.488,0.9909180711,55.33,0.3468,0.5001,0.4244
,SRPU,10.91,10.3,2162,29.4,7.05,,10,14,2,14,12,,'-815,'-468,0.096,0.0919,2026-06-19,2026-06-19,1,0,1,,0.5385,0,1.7415,'-2.3963,'-0.05088677,'-0.03838692,1.2542,1.4432,0.2005,0.1346,0.5047,0.9382667424,13.600000000000001,0.752,,
,SRRK,46.27,46.47,499177,51.63,27.07,05-07 7:00 PM,45,50,17.5,50,30,7.540612356760074,'-639621,'-346841,0.4509,0.3495,2026-05-16,2026-05-16,55,20,0.2909,0,0.8197,0.3636,1.8441,'-2.5031,0.03925544,0.00275179,0.5551,0.5451,0.0974,0.0131,0.595,1.5988636622,28.33,0.462,0.41002,4.6952
,SRS,42.25,41.45,2636,51.32,39.99,,40,36,28,47,33,,'-7961,'-3610,0.0739,0.4334,2026-07-18,2026-05-16,0,0,,,0.3718,,2.2053,'-2.2352,0.046992,0.13366466,0.3177,0.3823,0.6029,0.0528,0.2724,1.0002105031,27.47,12.9216,,
,SRTA,4.95,4.92,191674,6.02,2.57,05-06 7:00 PM,5,5,5,5,2.5,0,'-920440,'-111959,0.4919,0.3254,2026-05-16,2026-11-21,1240,455,0.0065,0.1538,0.2058,0.3669,8.2212,'-10.0577,'-0.20447284,'-0.26107545,0.4639,0.9503,0.4088,0.2419,0.6,0.2951130468,39.5,1.9898,0.44946,2.4025799999999995
,SRTS,4,3.99,9658,5.92,3.03,05-08 4:05 AM,4,5,2,5,1,0,'-57240,'-634,0.1006,0.0738,2026-07-18,2026-07-18,31,0,0.3226,,0.0102,0,90.2839,'-61.1972,0.60432684,0.44231884,0.5135,1.035,0.37,0.066,0.9336,0.2606608597,40.14,0.4133,,
,SRTY,28.35,28.5,686817,103.32,27.53,,29,29,4,29,34,,'-1701197,'-123717,0.8653,0.8576,2026-05-16,2026-05-16,50,87,0.54,0.4598,0.1511,1.74,13.7507,'-4.9389,'-0.04862169,0.03862721,0.6653,0.7197,0.2869,0.1284,0.4527,1.2946695702,53.22,3.5995,0.5907199999999999,6.342060000000001
,SRVR,35.09,35.24,27736,35.46,28.45,,35,31,24,35,23,,'-9746,0,0.1913,0.0899,2026-06-19,2026-06-19,0,0,,,0,,,,0.4097767,0.40025575,0.2095,0.1564,0.0723,0.4694,0.918,0.3478846178,41.72,27736,0.32904999999999995,69.13550000000001
,SSB,97.89,94.86,773968,108.46,84.48,,100,100,55,100,90,2.957339561454264,'-232767,'-108769,0.6606,0.3879,2026-05-16,2026-06-19,758,417,0.996,1,0.3735,0.5501,2.14,'-1.931,0.00879192,'-0.0559788,0.2615,0.3019,0.3671,0.2652,0.6074,1.8076269646,59.709999999999994,0.4461,0.66594,4.60718
,SSD,193.01,181.56,107083,211.98,149.51,04-28 4:15 AM,190,170,110,200,140,4.844175356978878,'-79729,'-11539,0.1938,0.1227,2026-06-19,2026-09-19,2,2,0,1,0.3213,1,6.9095,'-4.3863,'-0.0827447,'-0.0788986,0.3479,0.3777,0.6861,0.0155,0.3374,4.3284234047,51.65,4.2031,0.50508,3.6965000000000003
,SSG,16.92,17.43,461913,118.92,17.24,,17,17,13,21,20,,'-16665,'-4052,0.6569,0.2906,2026-05-16,2026-10-17,70,14,0.6286,0.3571,0.1611,0.2,4.1128,'-2.6165,2.01826753,1.75768629,0.7709,0.5757,0.1748,0.5856,0.9959,0.6333681121,60.34,53.388,0.5662800000000001,42.08336
,SSK,11.47,11.72,19731,39.04,10.35,,12,25,2,25,10,,'-40985,'-120694,0.0429,0.0052,2026-09-19,2026-05-16,33,244,0,0.0041,2.157,7.3939,0.3396,'-0.1451,'-0.36442142,'-0.38521323,0.4906,0.5018,0.1636,0.4593,0.3742,0.371211008,24.83,0.8612,,
,SSL,12.715,12.86,289505,13.68,3.41,,12.5,10,5,15,25,0,'-2242368,'-25481,0.2711,0.0752,2026-09-19,2026-09-19,12,0,0.1667,,0.0393,0,88.0016,'-197.6195,'-0.0622669,'-1.15324472,0.6758,0.6395,0.149,0.8532,0.0168,0.5190917124,47.32,0.3364,0.50948,0.3588
,SSNC,68.69,67.31,1672561,91.07,65.05,,70,75,40,75,60,3.4052526622116117,'-1042615,'-336945,0.8128,7.8208,2026-05-16,2026-05-16,391,170,0.9847,0.8941,0.3146,0.4348,3.0943,'-1.0811,'-0.12116788,'-0.09450945,0.282,0.3333,0.6088,0.2248,0.2582,1.4160463927,37.169999999999995,0.5275,0.27256,0.5001599999999999
,SSO,62.42,62.2,2007740,62.3,37.08,,60,50,20,60,58,,'-3404332,'-1719221,0.2081,0.0907,2026-06-19,2027-01-16,1160,505,0.4129,0.2891,0.5271,0.4353,1.9802,'-7.7211,'-0.37237533,'-0.38274408,0.3545,0.3083,0.3474,0.0625,0.312,1.2103932336,34.949999999999996,12.367,0.5668,12.3358
,SSP,4.61,4.75,190485,5.39,1.44,05-08 4:15 AM,5,2,2,5,4,0,'-93796,'-40879,0.2818,0.1142,2026-06-19,2026-09-19,124,5,0,1,0.6631,0.0403,2.2945,'-7.1606,0.02013975,0.05411042,0.5714,0.9111,0.252,0.1242,0.5909,0.2731632267,41.42,5.6458,0.3518,4.60582
,SSRM,30.97,30.52,547370,36.52,9.88,05-06 4:10 AM,32,35,13,35,29,17.105870643214274,'-3920061,'-1449375,0.2251,0.032,2026-06-19,2026-06-19,317,199,0.3155,0.5276,0.39,0.6278,2.7047,'-6.4846,'-0.01180706,0.00252076,0.7473,0.6744,0.6134,0.2127,0.1653,1.299166067,37.419999999999995,0.3722,0.45004,1.38888
,SSSS,13.195,13.06,101215,13.66,4.5,,12.5,10,5,12.5,2.5,0,'-563557,'-171593,0.3269,0.1882,2026-09-19,2026-06-19,361,55,0.0554,0.0909,0.4272,0.1524,3.2843,'-5.7033,0.00539195,'-0.04678488,0.6352,0.4681,0.1969,0.0399,0.7866,0.3858730039,51.24999999999999,34.6389,0.41091999999999995,19.592180000000003
,SSTK,17.62,17.48,63629,29.5,14.36,,17.5,22.5,7.5,22.5,17.5,41.08802221254048,'-162033,'-472814,0.9089,1.1051,2026-05-16,2026-06-19,55,24,0.5273,0.0833,2.3116,0.4364,0.3427,'-0.3112,'-0.37164548,'-0.25863024,0.2771,0.5417,0.2727,0.071,0.2593,0.5976719056,39.78,3.7493,0.3472,7.3191
,ST,42.32,41.69,542424,42.37,20.27,04-29 4:05 AM,42.5,40,7.5,42.5,37.5,12.1050128924693,'-2241102,'-280405,0.5854,0.4096,2026-05-16,2026-05-16,79,158,0.7595,0,0.2273,2,7.9924,'-16.3772,'-0.10903955,'-0.08862776,0.422,0.5021,0.7322,0.1503,0.4187,1.321249069,76.82,5.6757,0.49837999999999993,9.15912
,STAA,26.67,25.68,239938,30.81,15.59,,25,25,7.5,27.5,17.5,4.024999377756809,'-1155886,'-242048,0.2643,0.1321,2026-05-16,2026-09-19,222,95,0.4009,0.8737,0.4754,0.4279,4.7754,'-6.0093,'-0.01311586,'-0.05548833,0.8171,0.5785,0.4308,0.0412,0.4298,0.9376936186,54.800000000000004,0.471,0.5549799999999999,5.05488
,STAG,39.48,38.86,381094,39.99,31.79,04-29 4:05 AM,40,40,22.5,40,30,0,'-711566,'-114035,0.3689,0.3176,2026-06-19,2026-06-19,8,12,0.125,0,0.4119,1.5,6.2399,'-7.5046,'-0.1016109,'-0.08707212,0.1725,0.3009,0.6999,0.253,0.7741,0.7380530203,46.18,0.5574,0.58906,0.48438
,STBA,44.1,43.19,56824,44.91,34.01,,45,45,22.5,45,20,,'-5700,0,0,0,2026-07-18,2026-07-18,0,0,,,0,,,,0.41424864,0.28760499,0.1669,0.3929,0.2042,0.0174,0.4504,1.0710945528,65.60000000000001,7.6305,,
,STC,70.692,71.65,53661,78.61,56.39,,75,70,35,80,55,,'-6643,'-1848,0.5219,0.6501,2026-05-16,2026-05-16,0,0,,,0.5098,,3.5947,'-2.9124,0.33891086,0.27140199,0.2514,0.3224,0.2474,0.0763,0.8354,1.4580546614,38.24,0.4717,0.5009,0.4339
,STCE,65.36,66.68,23852,109.64,34.92,,68,75,35,80,68,,'-34073,'-15576,0.7548,0.0621,2026-05-16,2026-11-21,28,2,0.6786,0.5,0.3243,0.0714,2.1875,'-2.1597,'-0.53729246,'-0.46120577,0.5417,0.763,0.5055,0.2257,0.3991,3.2113135139,55.910000000000004,19.8767,0.942,0.5399
,STE,220.4,221.74,167183,269.44,209.98,05-12 4:30 AM,210,230,140,240,210,3.441242701881238,'-165836,'-378782,0.7052,2.6647,2026-05-16,2026-09-19,0,1,,1,1.2783,,0.4378,'-0.749,'-0.07660577,'-0.07857811,0.2172,0.3207,0.5022,0.1989,0.6311,4.4885449725,69.74000000000001,6.9726,0.5397200000000001,3.5221600000000004
,STEP,49.9,51.8,703120,77.8,40.58,,50,75,25,75,50,13.006019841037952,'-464019,'-307909,0.2055,0.9022,2026-09-19,2026-09-19,1,859,0,0.9767,0.4717,859,1.507,'-1.2563,'-0.04948561,0.02905263,0.5098,0.7125,0.9191,0.3038,0.6286,2.3295777315,45.51,11.1775,0.65754,5.235519999999999
,STEX,0.995,1.02,1215152,14.11,0.62,,1,1.5,1,5,0.5,0,'-528022,'-23860,0.0922,0.0437,2026-07-18,2026-10-17,3220,0,0.0019,,0.0368,0,22.13,'-6.8002,'-0.21300401,'-0.66649178,1.0455,1.1436,0.2221,0.3269,0.0882,0.0736269646,64.45,14.4003,0.65632,7.60918
