,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,ACIW,43.39,43.19,163938,55.45,38.05,05-07 6:00 PM,40,30,22.5,45,40,3.3452667386433808,'-13786,'-31226,0.2704,0.1414,2026-08-22,2026-05-16,0,0,,,2.33,,0.4415,'-0.5975,0.19137001,0.16074259,0.3358,0.4417,0.5845,0.2187,0.8333,1.2041294578,74.08,0.4752,0.76278,0.49122000000000005
,ACLS,137.496,143.18,375434,147.73,46.52,05-08 4:00 AM,140,115,45,140,90,16.34443136213485,'-401378,'-92251,0.4635,0.3327,2026-05-16,2026-06-19,581,262,0.3287,0.2405,0.3424,0.4509,4.3509,'-15.6177,0.00439691,'-0.00498008,0.5622,0.8032,0.9683,0.395,0.7895,7.2588635991,45.11,0.4983,0.5959,0.45382000000000006
,ACLX,115.06,115.03,861714,115.13,47.86,,115,115,40,115,110,2.8134483334050175,'-102534298,'-16645757,0.5793,0.6588,2026-05-16,2026-05-16,1868,2207,0.1392,0.2954,0.6878,1.1815,6.1598,'-6.3693,'-0.01831502,'-0.02040816,0.0099,0.0245,0.0019,0.0196,0.6327,0.1778851859,19.91,0.4086,0.27824000000000004,2.8755199999999994
,ACM,81.99,80.37,490451,135.52,79.01,,80,115,45,115,80,5.3214117294595225,'-447281,'-489939,0.3697,0.4427,2026-05-16,2026-12-19,87,90,0.2184,0.3778,0.4749,1.0345,0.9129,'-0.4248,'-0.03490611,'-0.03753418,0.2748,0.4023,0.9973,0.1118,0.5911,2.0408288203,71.92,7.0086,0.59306,4.67892
,ACMR,53.01,56.18,354127,71.65,17.32,04-27 7:00 PM,60,60,5,60,45,52.43989853232551,'-5399545,'-1040143,0.4137,0.1693,2026-05-02,2027-01-16,2333,904,0.4616,0.6626,0.324,0.3875,5.1912,'-7.965,0.06503785,0.00092198,0.6954,0.8677,0.6821,0.2139,0.5944,3.076903743,58.97,0.5191,0.56062,0.49714
,ACN,177.15,178.43,1980896,325.71,173.84,,190,200,177.5,200,170,17.506469118078076,'-9594935,'-9636258,0.1604,0.0847,2026-06-19,2028-01-22,18357,4367,0.0954,0.2897,0.6046,0.2379,0.9957,'-0.5238,'-0.00120337,'-0.01931616,0.4396,0.4504,0.7172,0.6161,0.8,5.0725791832,53.449999999999996,0.5063,0.5379,0.5031800000000001
,ACNB,48.03,48.99,21217,53.89,40.15,,50,35,25,65,30,2.853854978328804,'-368,'-1896,0,0,2026-10-17,2026-07-18,0,0,,,19.2,,0.1941,'-0.5677,0.56298812,0.40657084,0.2369,0.2922,0.1191,0.6152,0.7592,0.9035459193,48.28,4.3638,,
,ACNT,14.09,14.52,21206,17.92,11.46,,15,12.5,5,12.5,15,56.108216485725585,'-362237,'-214817,0.0372,0.0288,2026-06-19,2026-06-19,0,0,,,0.4075,,1.6863,'-3.2647,0.06696764,'-0.01803648,0.2193,0.4879,0.1492,0.029,0.874,0.4471569778,74.97,5.0781,,
,ACR,18.79,20.4,7561,24.61,17.06,04-30 4:05 AM,20,17.5,10,20,22.5,0,'-117923,'-34805,0.6899,0.903,2026-05-16,2026-05-16,0,0,,,0.291,,3.3881,'-5.8649,'-0.54338525,'-0.50578418,0.1911,0.5273,0.2107,0.0109,0.1235,0.6789698921,33.040000000000006,9.7814,,
,ACRE,5.26,5.28,71471,5.89,3.71,05-07 6:00 PM,5,5,5,5,10,0,'-800091,'-163445,0.623,0.6255,2026-05-16,2026-05-16,9,88,1,0.4545,0.222,9.7778,4.8952,'-7.8259,'-0.14523156,'-0.24705054,0.2703,0.5679,0.2424,0.1579,0.9121,0.1892641545,49.220000000000006,0.2154,0.5221,0.40612500000000007
